,Date,news_articles
0,2010-01-04,"Is It Live, or Is It iTunes? Apple Store as Recital Space"
1,2010-01-05,"Apple Buys Quattro, a Mobile Ad Company Apple Buys Quattro, a Mobile Ad Company Apple’s App Store Tops 3 Billion Downloads Apple Buys Quattro, an Ad Firm"
2,2010-01-06,"Microsoft and H.P. to Reveal Slate PC Ahead of Apple Microsoft and H.P. to Reveal Slate PC Ahead of Apple Apple Buys Quattro, an Ad Firm Putting the “i” in Apple"
3,2010-01-07,Apple Patent Application Could Presage Thinner Devices
4,2010-01-13,Elevation’s Latest Hire Is Another Apple Alum
5,2010-01-14,"How Do You Get to the Big Apple Circus? Practice, Practice"
6,2010-01-18,Apple to Show Off Its ‘Latest Creation’ Next Week
7,2010-01-19,Reading Apple’s Tea Leaves
8,2010-01-20,The War Between Apple and Google Has Just Begun
9,2010-01-21,"What Would It Feel Like to Hold a 10-Inch Apple Tablet? Apple Courts Publishers, While Kindle Adds Apps"
10,2010-01-22,"A Big-Picture Look at Google, Microsoft, Apple and Yahoo"
11,2010-01-23,The Apple Guessing Game
12,2010-01-25,Play Our Unofficial Apple Tablet Game! The Media Equation: Applecadabra! Laptop Sales Help Apple Top Forecasts
13,2010-01-26,"Apple's Upcoming Announcement With Apple Tablet, Print Media Hope for a Payday If Apple Releases It, Will Developers Come?"
14,2010-01-27,"Apple’s iPad Tablet Speed Read for Wednesday, Jan. 27       (Or as it’s now known, ‘Apple Tablet Day’) Get Your Non-Apple News Update: For Apple iPad Information, a Number of Resources With Its Tablet, Apple Blurs Line Between Devices The Apple iPad: First Impressions David Pogue’s First Look at the Apple iPad The Blogosphere Reacts to the Apple iPad Apple's iPad Tablet Demo of the Apple iPad"
15,2010-01-28,"The Apple iPad: First Impressions Apple’s New Device Looks Like a Winner. From 1988. Day 2, Non-Apple News AT&T and Apple Allow Cheap VoIP Calls on 3G"
16,2010-01-29,"For Apple, iPad Said More Than Intended Seeing Through the Apple (and ‘Avatar’) Hyperbole"
17,2010-02-01,A Little Chip Designed by Apple Itself
18,2010-02-03,"Apple Co-Founder: My Prius Has a Problem, Too"
19,2010-02-05,Chinese Firm Claims Apple Stole iPad Design and Name
20,2010-02-10,Is It Time for Apple to Retire the Cats?
21,2010-02-15,"Though Absent, Apple Permeates Barcelona Fair"
22,2010-02-18,Apple’s Prices for E-Books May Be Lower Than Expected
23,2010-02-20,Apple to Replace Bad Hard Drives
24,2010-02-22,Networks Wary of Apple’s Push to Cut Show Prices
25,2010-02-23,Apple Bans Some Apps for Sex-Tinged Content
26,2010-02-24,"Bits Scan: Apple TV, an Improved Xbox and a Week Without Google"
27,2010-03-01,Campaign Commemorates Oscar’s Big Apple Connection (‘French’ and Otherwise)
28,2010-03-02,Apple Sues Phone Maker HTC Over Patents Apple Sues Nexus One Maker HTC
29,2010-03-03,What Apple vs. HTC Could Mean A New Round in Apple and Amazon Music Fight
30,2010-03-05,Apple iPad to Arrive in Stores on April 3 Apple iPad Hits Stores April 3; Preorders Begin March 12
31,2010-03-06,"Mom, Apple Pie and Mortgages"
32,2010-03-09,"H.P. Barks, Then Bites Apple on the iPad"
33,2010-03-11,How to Choose the Right Apple iPad for You
34,2010-03-12,Sorting Through the Apple iPad Options
35,2010-03-13,Apple’s Spat With Google Is Getting Personal
36,2010-03-16,Apple Hires Wearable Computing Engineer
37,2010-03-18,Amazon Threatens Publishers as Apple Looms HTC ‘Disagrees Strongly’ With Apple’s Patent Claims Is Apple Throwing Its Hat Into the Location Ring? A Peek at an Interactive Magazine for the Apple iPad
38,2010-03-23,Apple Adds 2 Publishers to Its Store for E-Books
39,2010-03-29,Debate Between Media and Apple Over iPad Hardly a Flash in the Pan
40,2010-03-30,Godfather of iPod Severs Final Ties With Apple
41,2010-04-01,Apple iPad FAQ’s Apple Store Most Photographed in New York? Apple iPad FAQs Apple Adds iPad Apps to Its Store Apple iPad Town Meeting
42,2010-04-02,"A New Apple Device, and an Old Face in Line"
43,2010-04-05,"Apple Sold 300,000 iPads on Day One Up Next From Apple, a Preview of iPhone Software On First Day, Apple Sells 300,000 iPads"
44,2010-04-06,Update: The Continuing Mystery of a Newsweek Columnist vs. Apple Heirloom Apple Crops Increase
45,2010-04-08,Apple Unveils Ad Platform and Phone Software Apple Edges Into Selling of App Ads Apple’s Plans for iPhone Location Privacy
46,2010-04-09,"A Change at Apple Causes Trouble for Adobe More Fuzzy E-Book Numbers, This Time From Apple"
47,2010-04-12,Google’s Schmidt Says Apple Helped AdMob Deal
48,2010-04-13,Apple Places New Limits on App Developers Apple Places New Limits on App Developers Apple Lets Opera Browser Use Own Software on iPhone Apple Refreshes MacBooks
49,2010-04-14,Apple Delays Global Release of iPad Apple Postpones International iPad Sales
50,2010-04-16,Apple Invites Pulitzer Winner to Resubmit His Rejected iPhone App Media Decoder: Apple Invites Pulitzer Winner to Resubmit Rejected App Steve Jobs Says Apple Made a Mistake in Rejecting Pulitzer Winner’s App A Pulitzer Winner Gets Apple’s Reconsideration
51,2010-04-19,Apple Store Says 3G iPads to Ship ‘by May 7th’
52,2010-04-20,"For Apple, Lost iPhone Is a Big Deal Apple Removes Teaching App From App Store, and Educators Complain Apple Will Replace Shuffle Headphones Pulitzer Winner’s App Is Approved (Finally) by Apple Best Nonholiday Quarter for Apple Is Apple’s Spell Wearing Off? What We’re Reading: Apple Leaks"
53,2010-04-26,"Apple Allows a Cartoon App, and a Glimpse of Free Speech"
54,2010-04-27,"Sampler: Arizona Boycott, and Apple iPhone Inquiry Apple Buys Intrinsity, a Maker of Fast Chips"
55,2010-04-28,"Apple Buys Intrinsity, a Maker of Fast Chips"
56,2010-04-29,What We’re Reading: Feelings for Apple Apple Buys a Start-Up for Its Voice Technology What Would Johnny Appleseed Say?
57,2010-04-30,Apple’s Chief Makes Case Against Flash
58,2010-05-03,A Lost iPhone Shows Apple’s Churlish Side Apple Sells One Million iPads
59,2010-05-04,Government Weighing Possible Apple Antitrust Probe
60,2010-05-05,Has Apple Lost Its Cool?
61,2010-05-08,Has the Big Apple Become the Big Eyeball?
62,2010-05-10,What We’re Reading: Android vs. Apple
63,2010-05-12,HTC Files Complaint Against Apple Over Patents
64,2010-05-13,Next Round in the Adobe-Apple Fight
65,2010-05-14,Word For Word: The Apple & Adobe Letters
