,Date,news_articles
0,2010-01-12,Detroit Auto Show: Tesla Model S Prototype
1,2010-01-30,Tesla Motors Plans Public Offering to Raise $100 Million First-Gen Tesla Roadster’s Days Are Apparently Numbered
2,2010-02-01,Tesla Motors Plans $100 Million I.P.O.
3,2010-02-02,A Look Under the Hood of Tesla Motors
4,2010-02-05,"Nikola Tesla, an Inventive Namesake"
5,2010-02-17,Tesla Motors Executives Are Believed Dead in Plane Crash Three Tesla Employees Dead in California Plane Crash Tesla Employees Killed in Plane Crash
6,2010-02-18,"Tesla Employees Killed in Plane Crash Tesla Motors: Tight-Knit, Passionate and Grieving"
7,2010-02-19,Audio of Tesla Plane Crash May Help in Determining Cause Sampler: An Arrest in the Richmond Church Shooting and the Lives of the Tesla Employees Killed in the Plane Crash
8,2010-04-21,"Plane Carrying Tesla Officials Took Off at Own Risk, Tapes Show"
9,2010-05-20,"Tesla Buys Toyota Plant, Where It Will Build Electric Sedan"
10,2010-05-21,"Electric Car Agreement for Toyota and Tesla Tesla Deal Provides a Blueprint for Its Future Toyota and Tesla to Partner on Electric Cars Sampler: Tesla, Toyota, Lance Armstrong and Harvey Milk"
11,2010-05-22,Some Views of the Toyota-Tesla Deal
12,2010-05-24,"Toyota, Tesla-Style"
13,2010-05-28,Tesla’s Elon Musk: ‘I Ran Out of Cash’
14,2010-10-08,Tesla Recalling 439 Roadsters for Fire Hazard
15,2010-11-04,Panasonic Invests $30 Million in Tesla Panasonic Invests $30 Million in Tesla
16,2010-12-27,Tesla’s Stock Drops After Lock-Up Period Ends
17,2010-12-28,Tesla’s Stock Drops After I.P.O. Lock-Up Period Ends
18,2011-01-10,Mysterious Tesla Model S Caught in the Buff
19,2011-01-11,The Disrobing of a Naked Tesla Sedan
20,2011-01-13,"In Las Vegas, Hit the Jackpot, Get a Tesla"
21,2011-02-04,Lawsuits Claim Tesla Executive Negligent in Airplane Crash
22,2011-02-18,Tesla Co-Founder Sizes Up President Obama’s E.V. Pledge
23,2011-08-05,"Tesla-Powered Toyota RAV4 E.V. to Be Built in Canada, Not California"
24,2011-10-14,Tesla’s Long Island Vision
25,2011-10-23,Anticipating Big Growth at Tesla
26,2011-10-26,"Bucking Trends, Tesla Goes It Alone on Plug Design"
27,2012-03-02,Tesla’s Official Word on a Customer’s Battery Failure Tesla Battery Failures Make ‘Bricking’ a Buzzword
28,2012-03-22,Tesla’s Ambitions Fueled by Customer Down Payments Business Day Live | Tesla Financing
29,2012-05-25,"In White Plains, Tesla Motors Sells the Sizzle and Maybe a Car or Two"
30,2012-06-25,Tesla Model S Offers a Lesson in Electric-Vehicle Economics
31,2012-12-12,Father and Son Drive 423 Miles on One Charge in Tesla Model S
32,2012-12-21,Tesla Begins East Coast Fast-Charging Corridor
33,2013-01-15,A Holding Pattern at Tesla
34,2013-02-08,Stalled Out on Tesla’s Electric Highway
35,2013-02-12,The Charges Are Flying Over a Test of Tesla’s Charging Network
36,2013-02-14,That Tesla Data: What It Says and What It Doesn’t
37,2013-02-18,"Problems With Precision and Judgment, but Not Integrity, in Tesla Test"
38,2013-02-21,Tesla’s Earnings Indicate Some Customer Cancellations
39,2013-03-12,Tesla Model X Production Won’t Start Until Late 2014
40,2013-04-01,The Timing of Tesla C.E.O.’s Tweets Tesla Cancels Lowest-Range Version of Model S
41,2013-04-03,"Gentlemen, Start Your Calculators: Checking the Math of Tesla’s Lend-Lease Program"
42,2013-04-04,Tesla’s C.F.O. Reaps Healthy Profit on Stock Options
43,2013-08-21,How Does Tesla’s 5-Star Safety Rating Inform Overall Vehicle Safety?
44,2013-08-23,Getting Tesla From Here to There
45,2013-09-06,"As It Increases Production, Tesla Worries About Battery Supply"
46,2013-10-03,Tesla Says Car Fire Started in Battery
47,2013-10-04,Car Fire a Test for High-Flying Tesla
48,2013-11-06,"Tesla Posts Smaller Loss, but Shares Start to Temper"
49,2013-11-08,Another Fire Raises Questions for Tesla
50,2013-11-19,"After 3 Fires, Safety Agency Opens Inquiry Into Tesla Model S "
51,2013-12-05,SolarCity to Use Batteries From Tesla for Energy Storage
52,2014-05-13,"Seeing Future in Fuel Cells, Toyota Ends Tesla Deal"
53,2014-07-31,Tesla and Panasonic Agree to Build Factory in U.S.
